lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
OMUC-EBRU-EMAS-HFRI-MVIC,Interval 3,3,1.0,0.88,0.0,0.0,0
MMAS-CSOT-EMAS-HFRI-MHAR,Interval 3,3,6.96,4.26,28.17,43.07,3
MMAS-MMAS-CSOT-EMAS-MVIC,Interval 3,3,170.5,110.09,-21.07,-34.02,-58
OMUC-CSOT-EBRU-EMAS-MVIC,Interval 3,3,8.7,5.65,14.16,23.0,2
OMUC-HJOH-MMAS-HFRI-MHAR,Interval 3,3,6.43,4.23,-37.83,-62.21,-4
OMUC-MMAS-EBRU-HFRI-MHAR,Interval 3,3,2.37,1.58,50.63,84.57,2
OMUC-HJOH-CSOT-EMAS-MHAR,Interval 3,3,2.46,1.83,43.72,81.23,2
OMUC-MMAS-EBRU-HFRI-MHAR,Interval 3,3,1.9,1.03,38.83,52.63,1
OMUC-MMAS-CSOT-EBRU-MVIC,Interval 3,3,1.26,0.45,-88.89,-79.05,-1
OMUC-HJOH-EBRU-EMAS-HFRI,Interval 3,3,3.36,2.68,-44.78,-89.29,-3
OMUC-HJOH-EBRU-EMAS-MHAR,Interval 3,3,10.2,5.4,-66.67,-88.22,-9
OMUC-MMAS-CSOT-HFRI-MHAR,Interval 3,3,4.04,2.87,-27.87,-49.47,-2
OMUC-HJOH-CSOT-HFRI-MHAR,Interval 3,3,3.46,2.12,-18.87,-28.86,-1
MMAS-CSOT-EBRU-HFRI-MVIC,Interval 3,3,8.63,4.95,16.16,23.17,2
MMAS-EBRU-EMAS-HFRI-MHAR,Interval 3,3,1.2,0.4,0.0,0.0,0
OMUC-HJOH-EBRU-HFRI-MHAR,Interval 3,3,3.4,1.42,84.51,88.24,3
OMUC-MMAS-MMAS-CSOT-MHAR,Interval 3,3,4.43,3.03,-52.81,-90.29,-4
OMUC-CSOT-EMAS-HFRI-MHAR,Interval 3,3,4.46,2.17,18.43,22.4,1
OMUC-MMAS-MMAS-EMAS-HFRI,Interval 3,3,20.22,11.56,-3.46,-4.95,-1
OMUC-MMAS-CSOT-EMAS-MVIC,Interval 3,3,3.93,2.9,68.97,127.23,5
MMAS-MMAS-EBRU-EMAS-MHAR,Interval 3,3,6.06,3.35,35.82,49.46,3
OMUC-MMAS-CSOT-EMAS-HFRI,Interval 3,3,10.13,6.53,36.75,59.22,6
HJOH-CSOT-EMAS-HFRI-MHAR,Interval 3,3,8.43,5.22,53.64,83.04,7
OMUC-MMAS-MMAS-EMAS-MVIC,Interval 4,4,8.13,5.27,-53.13,-86.1,-7
MMAS-MMAS-CSOT-EBRU-HFRI,Interval 4,4,0.4,0.0,inf,500.0,2
OMUC-MMAS-CSOT-EBRU-EMAS,Interval 4,4,3.12,2.22,18.02,32.0,1
MMAS-MMAS-CSOT-EMAS-MHAR,Interval 4,4,4.55,3.55,-45.07,-87.99,-4
MMAS-MMAS-CSOT-EMAS-HFRI,Interval 4,4,14.14,6.32,37.97,42.44,6
HJOH-MMAS-MMAS-EBRU-MHAR,Interval 4,4,0.96,0.78,-102.56,-207.25,-2
OMUC-MMAS-CSOT-EMAS-MVIC,Interval 4,4,1.93,1.49,0.0,0.0,0
OMUC-MMAS-CSOT-EMAS-HFRI,Interval 4,4,7.23,5.18,-30.89,-55.33,-4
MMAS-MMAS-CSOT-EBRU-MVIC,Interval 4,4,32.03,18.39,-30.45,-43.71,-14
OMUC-MMAS-CSOT-EBRU-EMAS,Interval 4,4,1.5,0.99,0.0,0.0,0
OMUC-MMAS-MMAS-EMAS-HFRI,Interval 4,4,3.9,2.48,0.0,0.0,0
MMAS-CSOT-EBRU-EMAS-MVIC,Interval 4,4,2.0,1.2,-100.0,-150.0,-3
OMUC-MMAS-MMAS-CSOT-EMAS,Interval 4,4,4.0,1.85,86.49,100.0,4
OMUC-MMAS-MMAS-EBRU-MVIC,Interval 4,4,8.72,7.65,-5.23,-11.47,-1
OMUC-MMAS-MMAS-EBRU-EMAS,Interval 4,4,6.36,3.38,-47.34,-62.84,-4
OMUC-CSOT-EBRU-EMAS-MVIC,Interval 4,4,4.26,3.3,0.0,0.0,0
MMAS-MMAS-CSOT-EBRU-EMAS,Interval 4,4,3.23,1.89,0.0,0.0,0
OMUC-MMAS-EBRU-EMAS-MVIC,Interval 4,4,8.26,6.15,-26.02,-48.43,-4
OMUC-MMAS-MMAS-EBRU-MHAR,Interval 4,4,11.79,8.85,-4.52,-8.48,-1
OMUC-MMAS-CSOT-EBRU-MHAR,Interval 4,4,5.76,2.83,-42.4,-52.04,-3
MMAS-MMAS-EBRU-EMAS-HFRI,Interval 4,4,0.93,0.91,0.0,0.0,0
MMAS-MMAS-CSOT-HFRI-MVIC,Interval 4,4,1.86,1.1,-72.73,-107.24,-2
MMAS-MMAS-CSOT-EBRU-MHAR,Interval 4,4,8.6,6.33,-75.83,-139.62,-12
MMAS-CSOT-EBRU-EMAS-MHAR,Interval 4,4,2.5,1.48,-108.11,-160.0,-4
OMUC-MMAS-CSOT-EMAS-MVIC,Interval 4,4,2.66,1.5,53.33,75.1,2
OMUC-HJOH-MMAS-HFRI-MVIC,Interval 4,4,1.9,1.92,20.83,52.63,1
OMUC-CSOT-EBRU-EMAS-HFRI,Interval 4,4,3.9,1.7,-23.53,-25.64,-1
OMUC-MMAS-MMAS-EMAS-MHAR,Interval 4,4,7.33,5.1,7.84,13.64,1
HJOH-MMAS-MMAS-EBRU-MVIC,Interval 4,4,3.16,1.55,51.61,63.19,2
MMAS-CSOT-EBRU-EMAS-MVIC,Interval 4,4,5.0,3.02,-79.47,-120.0,-6
OMUC-MMAS-MMAS-HFRI-MVIC,Interval 4,4,1.46,1.33,60.15,136.52,2
OMUC-MMAS-CSOT-EBRU-MVIC,Interval 4,4,4.9,2.65,30.19,40.82,2
MMAS-MMAS-CSOT-EMAS-MVIC,Interval 4,4,50.12,32.88,2.43,3.99,2
OMUC-MMAS-CSOT-HFRI-MVIC,Interval 4,4,10.46,7.92,-20.2,-38.26,-4
OMUC-MMAS-CSOT-EMAS-MHAR,Interval 4,4,5.0,2.57,-15.56,-20.0,-1
OMUC-MMAS-CSOT-EMAS-HFRI,Interval 4,4,6.06,4.27,9.37,16.49,1
