team,lineup,minutes_sum,minutes_count,minutes_std,plusminus_per40_mean,plusminus_per40_std,netrating_mean,netrating_std,plusminus_per40_cv,netrating_cv
Santa Clara,MNAR-KING-HRAP-OPOL-GGRI,61.73,4.0,9.05,8.42,19.65,14.58,31.62,2.33,2.17
Santa Clara,MNAR-KING-MCUR-AGOO-OPOL,52.35,4.0,8.13,-25.98,26.88,-39.33,40.8,1.03,1.04
Santa Clara,MNAR-KING-MLAT-AGOO-OPOL,96.11,4.0,12.46,-19.98,12.88,-29.95,18.12,0.64,0.6
Santa Clara,MNAR-KING-MLAT-HRAP-OPOL,133.71,4.0,12.47,-12.57,6.53,-19.41,10.56,0.52,0.54
Santa Clara,MNAR-KING-MLAT-OPOL-GGRI,51.02,4.0,6.75,-2.35,23.59,-4.51,36.68,10.02,8.13
Santa Clara,MNAR-MLAT-HRAP-AGOO-OPOL,63.57,4.0,10.38,-5.04,14.72,-6.71,20.86,2.92,3.11
Santa Clara,MNAR-MLAT-HRAP-OPOL-GGRI,109.45,4.0,21.52,1.83,15.25,2.81,24.45,8.35,8.7
Santa Clara,MNAR-MLAT-MCUR-AGOO-OPOL,38.52,4.0,8.13,22.85,17.93,42.53,35.14,0.78,0.83
Washington St.,ATUH-CABR-JVIL-TWAL-ACOV,16.34,3.0,6.44,-9.79,15.05,-14.6,19.03,1.54,1.3
Washington St.,EVIL-ATUH-CABR-DMEN-TWAL,54.71,4.0,2.75,10.24,19.71,14.54,29.15,1.93,2.01
Washington St.,EVIL-ATUH-CABR-JVIL-TWAL,37.18,4.0,5.23,30.12,29.56,40.9,42.41,0.98,1.04
Washington St.,EVIL-ATUH-CABR-TWAL-ACOV,40.52,4.0,10.14,-16.78,19.61,-27.08,28.87,1.17,1.07
Washington St.,EVIL-ATUH-CABR-TWAL-CKPE,75.78,4.0,8.8,-5.28,19.95,-7.24,28.93,3.78,3.99
Washington St.,EVIL-ATUH-JVIL-DMEN-TWAL,157.12,4.0,22.02,15.02,11.68,22.13,17.6,0.78,0.8
Washington St.,EVIL-ATUH-JVIL-TWAL-ACOV,186.04,4.0,30.94,0.65,17.89,0.76,26.03,27.73,34.03
Washington St.,EVIL-ATUH-JVIL-TWAL-CKPE,74.44,4.0,16.68,-5.38,32.2,-8.15,42.72,5.99,5.24
Washington St.,EVIL-ATUH-KGAR-TWAL-ACOV,18.53,4.0,4.17,12.95,18.88,20.1,29.58,1.46,1.47
Washington St.,EVIL-ATUH-MALS-DMEN-TWAL,26.22,4.0,4.52,21.36,23.95,34.84,33.51,1.12,0.96
Washington St.,EVIL-ATUH-MALS-TWAL-ACOV,24.84,4.0,3.07,-1.61,33.72,-4.94,55.26,20.89,11.2
Washington St.,EVIL-KGAR-CABR-DMEN-TWAL,18.33,3.0,3.88,10.91,17.3,16.19,24.16,1.59,1.49
