lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
EVIL-CABR-DMEN-TWAL-CKPE,Interval 1,1,10.36,6.7,-17.91,-28.96,-3
ATUH-JVIL-DMEN-TWAL-ACOV,Interval 1,1,9.62,5.65,7.08,10.39,1
EVIL-ATUH-JVIL-TWAL-ACOV,Interval 2,2,81.79,47.11,30.57,44.01,36
JCHI-KGAR-MALS-DMEN-TWAL,Interval 2,2,1.9,0.84,-95.24,-105.26,-2
EVIL-ATUH-KGAR-TWAL-ACOV,Interval 2,2,5.33,3.7,10.81,18.76,1
EVIL-KGAR-JVIL-TWAL-ACOV,Interval 2,2,3.3,2.32,-120.69,-212.44,-7
JCHI-ADAR-KGAR-JVIL-CKPE,Interval 2,2,0.9,0.65,-61.54,-111.11,-1
JCHI-EVIL-MALS-JVIL-DMEN,Interval 2,2,4.43,3.42,-23.39,-45.15,-2
JCHI-ADAR-MALS-JVIL-ACOV,Interval 2,2,0.96,0.55,-145.45,-207.25,-2
EVIL-ATUH-CABR-TWAL-ACOV,Interval 2,2,37.66,24.62,-11.37,-18.59,-7
ATUH-MALS-JVIL-DMEN-ACOV,Interval 2,2,4.0,2.1,-95.24,-125.06,-5
JCHI-ATUH-CABR-JVIL-ACOV,Interval 2,2,1.66,0.57,-70.18,-60.06,-1
EVIL-ATUH-CABR-JVIL-ACOV,Interval 2,2,0.5,0.23,0.0,0.0,0
JCHI-EVIL-JVIL-DMEN-TWAL,Interval 2,2,0.4,0.0,inf,250.0,1
EVIL-ATUH-JVIL-TWAL-CKPE,Interval 2,2,21.78,12.11,56.15,78.04,17
EVIL-ADAR-MALS-DMEN-TWAL,Interval 2,2,0.5,0.41,0.0,0.0,0
EVIL-ATUH-MALS-CABR-TWAL,Interval 2,2,1.5,1.38,86.96,200.0,3
EVIL-MALS-CABR-DMEN-TWAL,Interval 2,2,0.0,0.01,0.0,,0
EVIL-ATUH-JVIL-DMEN-TWAL,Interval 2,2,27.51,16.55,-12.08,-18.17,-5
EVIL-ATUH-MALS-JVIL-ACOV,Interval 2,2,0.46,0.62,0.0,0.0,0
JCHI-ADAR-KGAR-MALS-CABR,Interval 2,2,2.8,1.62,-123.46,-178.76,-5
ATUH-KGAR-JVIL-DMEN-TWAL,Interval 2,2,0.9,0.33,-242.42,-222.22,-2
EVIL-ATUH-KGAR-TWAL-CKPE,Interval 2,2,1.93,1.56,-51.28,-103.63,-2
JCHI-EVIL-MALS-DMEN-TWAL,Interval 2,2,0.2,0.48,-83.33,-500.0,-1
JCHI-KGAR-MALS-JVIL-ACOV,Interval 2,2,1.9,0.91,43.96,52.63,1
JCHI-EVIL-MALS-TWAL-ACOV,Interval 2,2,1.5,0.94,-85.11,-133.33,-2
EVIL-ATUH-MALS-JVIL-TWAL,Interval 2,2,6.82,4.26,28.17,43.96,3
EVIL-MALS-JVIL-TWAL-ACOV,Interval 2,2,14.26,8.41,-52.32,-77.11,-11
JCHI-EVIL-ATUH-TWAL-ACOV,Interval 2,2,1.5,1.25,0.0,0.0,0
