combo_string,interval_num,minutes,PM_p40,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,pts_for,pts_against,o_poss,d_poss,plus_minus,off_rtg,def_rtg,net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40,combo_size,interval_len,interval_start,interval_end,player1,player2,player3
JL-AC-MH,1,23.59,8.47816871555744,8.978165590576971,29.162887347264885,18.548783270472313,10.614104076792572,53,48,42.083,41.25,5,125.94159161656727,116.36363636363636,9.577955252930906,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,AC,MH
AC-ZO-MH,1,22.073,5.436506138721515,5.936503013741046,0.5308189140340289,-7.974715690600959,8.505534604634988,37,34,38.022999999999996,37.845,3,97.30952318333641,89.84013740256309,7.469385780773322,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AC,ZO,MH
AC-IK-CH,1,21.844,-3.662332906061161,-3.16233603104163,8.512872404563709,11.28573232461136,-2.772859920047651,39,41,37.04,37.58,-2,105.29157667386609,109.1005854177754,-3.8090087439093168,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AC,IK,CH
JL-ZO-CH,1,20.27,29.60039467192896,30.10039154694849,37.762046054112886,14.306359028048064,23.455687026064822,52,37,38.65,33.0,15,134.54075032341527,112.12121212121211,22.419538202203157,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,ZO,CH
JL-IK-PR,1,19.151,-10.443318886742206,-9.943322011722675,-21.311752505262376,-4.8661351444460905,-16.445617360816286,24,29,31.802,31.2,-5,75.46695176404,92.94871794871796,-17.48176618467795,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,IK,PR
AM-IK-ZO,1,19.108,-12.560184216035168,-12.060187341015636,-17.7951877857859,-5.399301786599366,-12.395885999186532,23,29,29.12,31.380000000000003,-6,78.98351648351648,92.41555130656468,-13.432034823048198,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AM,IK,ZO
AC-IK-MH,1,18.557000000000002,-2.1555208277199975,-1.6555239527004664,4.293271228400528,6.335859113912079,-2.0425878855115513,33,34,32.65,32.644999999999996,-1,101.07197549770291,104.15071220707613,-3.078736709373217,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AC,IK,MH
AM-MH-PR,1,16.787,26.210758324894265,26.710755199913795,13.520482274196866,-23.134909992168318,36.65539226636518,32,21,29.012,28.12,11,110.29918654349925,74.67994310099573,35.61924344250352,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AM,MH,PR
JL-AM-AC,1,16.207,17.276485469241685,17.776482344261215,47.15796359683651,14.20144018585836,32.95652341097815,40,33,27.79,29.46,7,143.9366678661389,112.0162932790224,31.920374587116484,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,AM,AC
JL-AM-MH,2,58.338,9.599232061435085,6.8299373854041,9.747338844140629,-1.0680432754576685,10.815382119598297,118,104,97.108,99.181,14,121.51419038596201,104.85879351891995,16.655396867042057,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,JL,AM,MH
AM-MH-CH,2,51.289,1.5597886486381094,-1.209506027392876,0.6750941927178502,-1.0109443681393344,1.6860385608571846,92,90,81.82000000000001,85.783,2,112.44194573453923,104.91589242623829,7.526053308300945,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,MH,CH
JL-AM-CH,2,48.794,2.45931876870107,-0.3099759073299153,1.9275787085618532,1.3278181823630746,0.5997605261987786,89,86,78.28,80.183,3,113.69443025038323,107.2546549767407,6.439775273642539,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,JL,AM,CH
