player1,player2,player3,minutes,pts_for,pts_against,o_poss,d_poss,plus_minus,off_rtg,def_rtg,net_rtg,PM_p40,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg
ZO,MH,PR,39.254,68,50,73.738,66.77499999999999,18,92.21839485746834,74.87832272557095,17.340072131897386,18.34207978804708,15.897621763280275,-11.93908500039521,-25.784823713582114,13.845738713186904
JL,AC,PR,38.525,74,69,70.398,62.273,5,105.11662263132476,110.80243444189296,-5.685811810568197,5.191434133679429,2.746976108912625,0.9591427734612097,10.139288002739889,-9.18014522927868
JL,ZO,MH,38.141,86,67,76.933,73.84,19,111.78557966022382,90.73672806067172,21.048851599552094,19.92606381584122,17.481605791074415,7.628099802360268,-9.926418378481344,17.55451818084161
AM,IK,KJ,36.503,55,42,54.825,57.92,13,100.31919744642042,72.51381215469614,27.805385291724278,14.245404487302414,11.80094646253561,-3.8382824114431315,-28.149334284456927,24.311051873013795
IK,KJ,CH,35.957,54,44,59.225,60.53,10,91.17771211481637,72.69122749050058,18.486484624315793,11.124398587201378,8.679940562434574,-12.979767743047177,-27.971918948652487,14.99215120560531
AC,ZO,KJ,35.485,55,64,56.362,58.64,-9,97.58347823001313,109.14051841746249,-11.55704018744936,-10.145131745808088,-12.589589770574893,-6.574001627850421,8.47737197830942,-15.051373606159842
AC,KJ,CH,35.238,61,90,59.925,61.12,-29,101.79390905298288,147.25130890052355,-45.45739984754067,-32.91900788921051,-35.363465913977315,-2.3635708048806663,46.58816246137049,-48.95173326625115
JL,AC,KJ,34.17,65,78,54.455,54.99,-13,119.36461298319713,141.84397163120568,-22.479358648008542,-15.218027509511266,-17.66248553427807,15.207133125333584,41.18082519205261,-25.973692066719025
JL,AC,IK,33.173,65,63,54.68,54.980000000000004,2,118.87344550109728,114.58712259003275,4.286322911064531,2.411599795014017,-0.032858229752787516,14.71596564323373,13.923976150879682,0.7919894923540483
JL,PR,CH,32.331,45,55,46.71,47.37,-10,96.33911368015414,116.1072408697488,-19.76812718959465,-12.372026847298258,-14.816484872065063,-7.818366177709407,15.444094430595726,-23.262460608305133
IK,ZO,PR,32.303,48,48,53.84,53.31,0,89.15304606240713,90.03939223410241,-0.8863461716952798,0.0,-2.4444580247668046,-15.004433795456421,-10.623754205050659,-4.380679590405762
JL,KJ,CH,31.106,56,65,48.67,53.26,-9,115.06061228682967,122.04280886218551,-6.982196575355843,-11.573329904198546,-14.017787928965351,10.903132428966117,21.379662423032443,-10.476529994066325
IK,PR,CH,30.492,36,45,45.449999999999996,50.51,-9,79.20792079207921,89.09126905563255,-9.883348263553344,-11.806375442739078,-14.250833467505883,-24.949559065784342,-11.571877383520516,-13.377681682263827
AM,KJ,PR,30.336,48,44,43.927,47.25,4,109.27220160721195,93.12169312169311,16.15050848551884,5.274261603375527,2.829803578608723,5.114721749348405,-7.541453317459954,12.656175066808359
